channel,source_metric,comparison_filename,comparison_subrun,comparison_status,comparison_role,processed_sequence_offset_from_role_target,file_unique_events,target_channel_rows,target_channel_unique_events,occupancy,n_values,n_nan,n_inf,min,max,mean,std,median,q25,q75
82,pulseHeight_max,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,127,127,0.12815338042381433,127,0,0,-1250.46,-15.0924,-286.38924015748023,414.3767079622307,-39.1448,-371.08450000000005,-19.83845
82,pulseHeight_max,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,127,127,0.12776659959758552,127,0,0,-1250.46,-15.2113,-267.17246929133864,377.0750327564629,-70.5335,-340.6245,-23.400100000000002
82,pulseHeight_max,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,128,128,0.1285140562248996,128,0,0,-1250.46,-15.0178,-348.618515625,469.5393103391022,-69.066,-472.2645,-22.346925
82,pulseHeight_max,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,124,124,0.12550607287449392,124,0,0,-1250.69,-16.3139,-293.9261629032258,417.97192127964587,-77.86985,-356.133,-23.286625
82,sideband_mean,Digitizer_run2014_subrun605.csv,605,WARN,WARN_target,0,994,226,226,0.22736418511066397,226,0,0,-175.042,45.0736,-7.628376814159292,14.697130634578121,-7.886525,-11.448225,-2.441895
82,sideband_mean,Digitizer_run2014_subrun603.csv,603,WARN,WARN_target_previous_2,-2,998,245,245,0.24549098196392785,245,0,0,-321.298,94.0128,-7.811210751836736,26.762099441090935,-6.9766,-10.6751,-1.71393
82,sideband_mean,Digitizer_run2014_subrun604.csv,604,WARN,WARN_target_previous_1,-1,998,224,224,0.22444889779559118,224,0,0,-429.427,59.4361,-9.851706263392858,35.473306854430966,-7.404415,-11.66125,-2.87861
82,sideband_mean,Digitizer_run2014_subrun609.csv,609,WARN,WARN_target_next_1,1,998,241,241,0.24148296593186372,241,0,0,-565.849,50.2783,-11.252221026970952,47.2995283696217,-8.07629,-11.4686,-2.61571
82,sideband_mean,Digitizer_run2014_subrun611.csv,611,WARN,WARN_target_next_2,2,1000,232,232,0.232,232,0,0,-297.327,57.4466,-7.398283984482759,21.09910483661584,-7.52685,-11.231275,-1.2778749999999999
82,sideband_mean,Digitizer_run2014_subrun94.csv,94,OK,OK_target,0,993,137,137,0.1379657603222558,137,0,0,-1197.22,45.6318,-12.240053191970805,102.57546764395401,-1.71559,-11.8265,2.00139
82,sideband_mean,Digitizer_run2014_subrun88.csv,88,OK,OK_target_previous_2,-2,991,127,127,0.12815338042381433,127,0,0,-1249.39,47.016,-24.916221880314957,156.3172749019034,-4.67375,-11.41425,0.905661
82,sideband_mean,Digitizer_run2014_subrun90.csv,90,OK,OK_target_previous_1,-1,994,127,127,0.12776659959758552,127,0,0,-289.442,26.7555,-11.130635307874016,34.9726920890737,-3.31547,-13.33375,0.612888
82,sideband_mean,Digitizer_run2014_subrun95.csv,95,OK,OK_target_next_1,1,996,128,128,0.1285140562248996,128,0,0,-644.347,42.401,-11.877194008671875,64.84230275334174,-2.68239,-12.374925,1.5382425
82,sideband_mean,Digitizer_run2014_subrun96.csv,96,OK,OK_target_next_2,2,988,124,124,0.12550607287449392,124,0,0,-715.48,55.6785,-8.73764065887097,64.85255211544724,-1.46922,-10.757125,1.9631175
