case,filename,subrun,target_channel,channel,nPulses_mean,nPulses_median,nPulses_std,occupancy,frac_dead,z_nPulses_median,abs_z_nPulses_median,above_z8,above_z15,is_target_channel
A,Digitizer_run2014_subrun168.csv,168,4,84,1.5892857142857142,1.0,0.9298442824529219,0.056112224448897796,0.0,-0.3008289554845646,0.3008289554845646,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,78,2.0,1.0,1.4591203713417598,0.156312625250501,0.0,-0.2980803483934436,0.2980803483934436,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,85,1.5227272727272727,1.0,0.8209080724569271,0.04408817635270541,0.0,-0.25393396180765865,0.25393396180765865,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,44,1.7096774193548387,1.0,0.964740630635918,0.06212424849699399,0.0,-0.24556915214514916,0.24556915214514916,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,77,1.4583333333333333,1.0,0.7425755447874054,0.04809619238476954,0.0,-0.22778349401611972,0.22778349401611972,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,19,1.5,1.0,1.0513149660756937,0.02004008016032064,0.0,-0.20991856567353093,0.20991856567353093,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,28,1.7303370786516854,1.0,1.0741174489680971,0.08917835671342686,0.0,-0.19716622900896522,0.19716622900896522,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,74,1.607843137254902,1.0,1.0015673990810405,0.05110220440881764,0.0,-0.1735791898145991,0.1735791898145991,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,6,1.5510204081632653,1.0,1.0618620533798933,0.04909819639278557,0.0,-0.16802280423907515,0.16802280423907515,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,88,1.446808510638298,1.0,0.8548712244313624,0.047094188376753505,0.0,-0.16502318695329443,0.16502318695329443,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,86,1.4528301886792452,1.0,0.6374841698139848,0.0531062124248497,0.0,-0.15801497138186668,0.15801497138186668,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,95,1.5135135135135136,1.0,0.9894336657800659,0.03707414829659319,0.0,-0.15535761170052673,0.15535761170052673,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,1,1.2857142857142858,1.0,0.7126966450997985,0.028056112224448898,0.0,-0.14002038222800792,0.14002038222800792,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,9,1.5862068965517242,1.0,0.6822882392210131,0.02905811623246493,0.0,-0.1192348635982926,0.1192348635982926,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,94,1.2972972972972974,1.0,0.5708115501860712,0.03707414829659319,0.0,-0.1068007811304221,0.1068007811304221,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,11,1.457142857142857,1.0,0.6108266887567038,0.03507014028056112,0.0,-0.10637323491877426,0.10637323491877426,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,2,1.4473684210526316,1.0,1.05772239808385,0.03807615230460922,0.0,-0.10524837863907224,0.10524837863907224,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,18,1.3703703703703705,1.0,0.629294363562392,0.027054108216432865,0.0,-0.1049782201264008,0.1049782201264008,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,79,1.4,1.0,0.7507571935295482,0.045090180360721446,0.0,-0.09986819679253868,0.09986819679253868,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,91,1.375,1.0,0.6758832604956138,0.056112224448897796,0.0,-0.09927127930337419,0.09927127930337419,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,20,1.3953488372093024,1.0,0.6597089864810497,0.04308617234468938,0.0,-0.09883915253662964,0.09883915253662964,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,21,1.40625,1.0,0.7975516971817058,0.03206412825651302,0.0,-0.09656867570398656,0.09656867570398656,False,False,False
